id,year,engine_size,fuel_efficiency,horsepower,price
1,2018,2.2,15.3,145,22647
2,2016,1.9,10.6,140,19490
3,2016,1.9,11.4,123,19750
4,2023,1.8,10.7,128,26239
5,2018,1.0,12.7,67,14267
6,2023,1.2,11.9,80,21856
7,2019,2.1,10.0,150,23935
8,2021,2.3,19.2,181,26539
9,2013,1.8,13.8,135,15353
10,2020,2.5,12.3,194,29600
11,2012,1.9,19.3,163,15324
12,2018,1.5,19.0,101,18359
13,2012,1.6,13.8,138,14231
14,2023,1.2,18.1,75,17321
15,2016,1.4,12.5,92,14927
16,2013,1.9,11.0,124,16466
17,2015,2.3,12.2,163,23531
18,2020,1.5,17.6,93,19292
19,2021,1.5,17.3,127,22375
20,2015,1.4,18.3,107,15092
21,2012,2.0,16.8,134,14870
22,2019,1.4,15.8,110,21342
23,2022,2.2,16.6,176,27003
24,2015,1.0,13.7,79,13821
25,2012,1.6,18.9,120,14040
26,2021,1.4,20.3,95,23647
27,2013,2.5,11.7,218,24503
28,2014,2.3,19.3,152,21028
29,2014,1.6,14.6,132,16580
30,2015,1.5,18.7,114,13006
31,2022,1.6,17.3,113,22628
32,2023,2.0,14.2,174,27979
33,2012,1.1,20.6,79,10842
34,2014,2.5,12.5,139,19084
35,2014,1.3,17.4,97,13973
36,2017,1.5,14.6,93,16509
37,2020,2.1,18.1,152,24990
38,2015,2.0,18.3,185,21967
39,2023,1.9,12.8,125,25019
40,2021,2.2,12.3,156,26536
41,2023,2.4,14.2,168,28007
42,2013,1.8,18.5,125,13101
43,2018,1.4,17.9,89,14833
44,2017,2.1,14.2,157,23759
45,2018,1.1,12.7,76,17194
46,2015,1.3,16.3,96,16598
47,2013,1.4,17.2,84,13974
48,2018,2.4,16.6,208,27716
49,2014,2.0,14.4,148,19153
50,2012,2.0,16.7,134,14789
51,2018,1.2,19.2,100,15851
52,2021,1.6,16.6,125,22907
53,2012,2.2,17.5,163,19893
54,2017,1.4,12.1,87,16676
55,2015,1.9,13.7,129,20248
56,2018,2.2,20.4,144,22738
57,2023,2.0,14.8,162,26655
58,2022,2.1,11.8,119,24572
59,2018,2.5,17.4,191,22601
60,2021,1.5,14.5,118,19047
61,2015,1.2,17.9,85,13413
62,2012,1.1,15.3,83,11647
63,2017,2.4,10.1,205,25205
64,2012,1.9,20.8,137,14106
65,2019,1.3,13.9,88,16153
66,2022,2.0,13.9,140,27087
67,2014,2.2,15.1,190,23007
68,2012,1.6,15.2,122,16114
69,2012,1.7,19.6,118,13915
70,2016,2.1,13.8,166,20790
71,2012,2.4,15.5,186,18668
72,2021,1.7,19.7,119,21187
73,2023,1.8,11.0,139,27103
74,2013,2.2,16.4,192,20632
75,2013,1.6,16.6,111,13772
76,2018,1.8,19.4,150,20905
77,2012,1.4,14.9,100,10655
78,2014,1.8,17.5,134,15810
79,2015,1.3,18.7,88,13295
80,2014,2.2,13.7,147,18738
81,2016,1.7,16.7,111,16491
82,2022,2.4,13.0,149,28681
83,2015,1.3,15.1,109,17810
84,2022,1.4,21.9,106,22721
85,2013,1.7,14.3,118,14474
86,2023,1.3,17.0,80,19048
87,2013,1.1,16.4,92,11339
88,2017,2.3,11.5,167,23652
89,2020,1.4,12.7,83,18422
90,2019,2.3,15.4,135,23501
91,2017,1.6,13.8,136,20315
92,2020,2.1,14.9,146,25073
93,2021,1.5,12.4,92,18715
94,2016,1.8,13.1,156,22210
95,2019,1.2,18.9,69,17131
96,2019,1.9,11.9,163,24822
97,2013,1.2,17.4,94,12062
98,2020,2.1,18.3,168,23892
99,2021,2.4,14.8,176,28472
100,2017,1.8,16.0,130,17309
101,2013,1.8,20.3,141,13891
102,2015,2.2,15.6,175,21775
103,2017,2.1,12.6,159,22415
104,2021,1.5,13.0,135,22198
105,2016,1.7,19.1,130,19880
106,2021,1.5,15.9,101,18735
